#戰鬥編號	戰場地圖編號	sPlayerTeam	sEnemyTeam	戰鬥勝利條件	戰鬥失敗條件	戰鬥勝利獎勵編號	戰鬥失敗獎勵編號	時間	音樂	室內外	存檔	掉落物	機率	掉落物	機率	掉落物	機率	掉落物	機率
#iID	sAreaID	sPlayerTeam	sEnemyTeam	iVictory	iFale	sReward	sReward	sTime	sBGM	sinside	sautosave	掉落物	機率	掉落物	機率	掉落物	機率	掉落物	機率
8700001	M0045_01_0301	(0,0,0)	(0,878008,134)*(0,878008,66)*(-1,878008,139)*(-1,878008,264)*(-1,878013,71)*(-1,878013,144)*(-1,878009,246)*(-1,878009,294)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700002	M0023_01_05	(0,0,0)	(0,878008,59)*(0,878008,66)*(-1,878008,67)*(-1,878008,68)*(-1,878013,69)*(-1,878013,60)*(-1,878009,61)*(-1,878009,62)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700003	M0017_01_03	(0,0,0)	(0,878008,34)*(0,878008,35)*(-1,878008,36)*(-1,878008,37)*(-1,878013,42)*(-1,878013,43)*(-1,878009,45)*(-1,878009,46)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700004	M0000_02_01	(0,0,0)	(0,878008,31)*(0,878008,32)*(-1,878008,33)*(-1,878008,42)*(-1,878013,50)*(-1,878013,53)*(-1,878009,61)*(-1,878009,70)	(0,0,0)	(0,0,0)	0	872005	-1	Y000026	0	0	0	0	0	0	0	0	0	0
8700005	M0023_01_05	(0,0,0)	(0,878013,59)*(0,878013,66)*(-1,878013,67)*(-1,878013,68)*(-1,878009,69)*(-1,878009,60)*(-1,878019,61)*(-1,878019,62)	(0,0,0)	(0,0,0)	0	872005	-1	Y000026	0	0	0	0	0	0	0	0	0	0
8700006	M0039_03_03	(0,0,0)	(0,878013,92)*(0,878013,90)*(-1,878013,80)*(-1,878013,78)*(-1,878009,98)*(-1,878009,81)*(-1,878019,87)*(-1,878019,27)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700007	M0045_01_0301	(0,0,0)	(0,878013,134)*(0,878013,66)*(-1,878013,139)*(-1,878013,264)*(-1,878009,71)*(-1,878009,144)*(-1,878019,246)*(-1,878019,294)	(0,0,0)	(0,0,0)	0	872005	-1	Y000015	0	0	0	0	0	0	0	0	0	0
8700008	M0023_01_05	(0,0,0)	(0,878013,59)*(0,878013,66)*(-1,878013,67)*(-1,878013,68)*(-1,878009,69)*(-1,878009,60)*(-1,878019,61)*(-1,878019,62)	(0,0,0)	(0,0,0)	0	872005	-1	Y000032	0	0	0	0	0	0	0	0	0	0
8700009	M0017_01_03	(0,0,0)	(0,878019,34)*(0,878019,35)*(-1,878019,36)*(-1,878019,37)*(-1,878009,42)*(-1,878009,43)*(-1,878094,45)*(-1,878094,46)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700010	M0000_02_01	(0,0,0)	(0,878019,31)*(0,878019,32)*(-1,878019,33)*(-1,878019,42)*(-1,878009,50)*(-1,878009,53)*(-1,878094,61)*(-1,878094,70)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700011	M0023_01_05	(0,0,0)	(0,878019,59)*(0,878019,66)*(-1,878019,67)*(-1,878019,68)*(-1,878009,69)*(-1,878009,60)*(-1,878094,61)*(-1,878094,62)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700012	M0039_03_03	(0,0,0)	(0,878019,92)*(0,878019,90)*(-1,878019,80)*(-1,878019,78)*(-1,878009,98)*(-1,878009,81)*(-1,878094,87)*(-1,878094,27)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700013	M0045_01_0301	(0,0,0)	(0,878019,134)*(0,878019,66)*(-1,878019,139)*(-1,878019,264)*(-1,878009,71)*(-1,878009,144)*(-1,878094,246)*(-1,878094,294)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700014	M0016_01_0303	(0,0,0)	(0,878015,410)*(0,878015,1031)*(0,878015,893)*(-1,878015,534)*(-1,878218,914)*(-1,878218,798)*(-1,878218,671)*(-1,878014,555)*(-1,878024,833)*(-1,878023,489)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700015	M0015_01_0301	(0,0,0)	(0,878015,203)*(0,878015,254)*(0,878015,354)*(-1,878015,303)*(-1,878218,251)*(-1,878218,301)*(-1,878218,201)*(-1,878014,351)*(-1,878143,227)*(-1,878147,327)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700016	M0011_01_0301	(0,0,0)	(0,878015,174)*(0,878015,172)*(0,878015,210)*(-1,878015,207)*(-1,878218,186)*(-1,878218,247)*(-1,878218,69)*(-1,878014,30)*(-1,878152,107)*(-1,878157,48)	(0,0,0)	(0,0,0)	0	872005	-1	Y000038	0	0	0	0	0	0	0	0	0	0
8700017	M0040_01_07	(0,0,0)	(0,878015,58)*(0,878015,79)*(0,878015,26)*(-1,878015,89)*(-1,878218,66)*(-1,878218,110)*(-1,878218,98)*(-1,878014,67)*(-1,878175,46)*(-1,878250,7)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700018	M0026_01_05	(0,0,0)	(0,878015,118)*(0,878015,120)*(0,878015,102)*(-1,878015,87)*(-1,878218,89)*(-1,878218,100)*(-1,878218,107)*(-1,878014,136)*(-1,100022,139)*(-1,100023,18)	(0,0,0)	(0,0,0)	0	872006	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700019	M0028_02_04	(0,0,0)	(0,878218,272)*(0,878218,293)*(0,878218,313)*(-1,878218,357)*(-1,878014,231)*(-1,878014,252)*(-1,878014,209)*(-1,878021,211)*(-1,100024,355)*(-1,100025,229)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
8700020	M0022_01_0301	(0,0,0)	(0,878218,322)*(0,878218,325)*(0,878218,251)*(-1,878218,250)*(-1,878014,269)*(-1,878014,273)*(-1,878014,256)*(-1,878021,257)*(-1,100108,268)*(-1,100112,236)	(0,0,0)	(0,0,0)	0	872005	-1	Y000080	0	0	0	0	0	0	0	0	0	0
8700021	M0003_01_0301	(0,0,0)	(0,878218,114)*(0,878218,112)*(0,878218,113)*(-1,878218,135)*(-1,878014,155)*(-1,878014,53)*(-1,878014,56)*(-1,878021,116)*(-1,100113,54)*(-1,878203,55)	(0,0,0)	(0,0,0)	0	872005	-1	Y000039	0	0	0	0	0	0	0	0	0	0
