#iEndID	strOpenCondition	word
3	(8,204001008,0,0)	其后，他们四位逍遥谷弟子连袂行侠江湖，四处扶危解厄，陆续平息了数次大危机。世人称他们为逍遥四侠。
21	(8,204001009,0,0)	自此，武林似乎暂得太平。在法外三旬中，点苍派、弦剑山庄、南少林惨遭屠戮，峨眉派避世不出，归隐山林，正道受创斐浅。两年后，谷月轩、荆棘武艺大成，重出江湖，闯下一番名号。谷月轩在追捕巨盗陕北十三雁的过程中，结识胸怀英雄梦的少年东方未明，因缘际会成为同门，逍遥三侠之名不胫而走。有诗云：<br>东有新星出北斗，一方谷月照轩桐<br>荆棘未艾道多舛，曦驭乍明惊雁鸿
21	(8,200501002,1,0)	自此，武林似乎暂得太平。在法外三旬中，点苍派、弦剑山庄、南少林惨遭屠戮，峨眉派避世不出，归隐山林，正道受创斐浅。两年后，谷月轩、荆棘武艺大成，重出江湖，闯下一番名号。谷月轩在追捕巨盗陕北十三雁的过程中，结识胸怀英雄梦的少年东方未明，因缘际会成为同门，逍遥三侠之名不胫而走。有诗云：<br>东有新星出北斗，一方谷月照轩桐<br>荆棘未艾道多舛，曦驭乍明惊雁鸿
8	(8,204001005,0,0)*(8,212301002,0,0)	经历了一连串的江湖风浪，阿傍隐居十万大山。小阿曼忧心上了年事的阿傍，寻到了阿傍的隐居地。天真烂漫的小阿曼感化了心灰意懒的阿傍，两人在外人眼中就像是一对感情极好的爷孙。
9	(8,204001005,0,0)*(6,Q300095,0,0)	龌龊的官场令生性秉直的封青霄厌烦，加上听闻塞北之地多产灵药，其中几味甚至能使人复明。为了治疗妹妹封紫云的眼睛，封青霄辞去锦衣卫职务，带着妹妹移居塞外。
10	(8,204001005,0,0)	不动回到少林寺后，闭关修练，潜心于武学与佛法造诣。二十年后，不动圆满出关，成为少林寺有始以来最年轻的方丈。后人尊称他为不语佛陀。
11	(8,204001005,0,0)*(8,220601003,1,0)	弦剑山庄被灭门后，空山寂寂，人烟渺渺。萧复每每思及灭门惨事，都令他久久不能自己。最终，萧复离开中原，前往异国。
12	(8,204001005,0,0)*(8,220601003,1,0)	峨嵋虽安然无恙地度过这场武林大劫，但掌门浪花师太几经思量，决定率领门徒远渡域外。曾经显赫一时的峨嵋派，从此消失在纷扰的中原武林。待峨嵋在西域落地生根后，水盼盼告别师门，漫游广袤的西方世界。
13	(8,204001005,0,0)*(8,220601003,0,0)	倏忽数年，萧复与水盼盼在遥远的异域相逢。两人琴萧合奏，互诉离情。这一曲更惊动了异族王室，邀请他们前往枫丹白露宫演奏。
15	(8,204001005,0,0)*(8,201501003,0,0)	点苍派在龙墨的励精图治之下，渐渐复苏。为了让点苍派得以休养生息，龙墨命点苍派弟子绝足武林十年。之后抛弃掌门之位，云游天下，不知所踪……
16	(8,204001005,0,0)	报完大仇，敖广招集了残存的酆都门人，远渡重洋来到马六甲。精擅水战的他，飞快成长为雄霸当地的海盗。晚年，厌倦了斗争的他曾随葡萄牙人麦哲伦游历诸国，并收了一位名叫弗朗西斯的英格兰少年作为传人……
17	(8,204001005,0,0)	月牙泉，鸣沙山，风吹呜咽诉离情。空对残月，少女拨动算筹，轻轻地，叹了一口气……谷大哥，你可还记得我？
19	(8,204001005,0,0)*(8,230105007,0,0)	夜飘香绝迹江湖，独留月光悠悠。<br>潇湘画舫驶入了西湖深处，自此无影无踪。<br>偶有人会在西子湖畔遇见一书生与一绝美女子，共乘舲舟，谈曲唱诗。
20	(8,204001005,0,0)	酆都众人星散，诸路大将或死伤或归隐。罗煞撑起了整个酆都，接任帮主，招集残兵。但此刻的酆都已名存实亡，只能选择避居海外孤岛。罗煞与其妻尽心照顾神智已失的阎罗，伴阎罗终老一生。偶尔敖广自海外归来时，两人会把酒言欢，追忆往昔峥嵘岁月。
18	(8,204001008,0,0)	无瑕子轻轻放下一子，至此大局已成。<br>天机道人苦思半晌，推枰投子。<br>无瑕子淡淡一笑：老友莫恼。老道新谱了一曲破虏令，恰与你同名，请你品评。<br>无瑕子取过瑶琴，弦声铮铮。<br>天机道人闭上双眼，似沉浸于乐曲，又似在追忆过往……
14	(8,204001008,0,0)	岳晓遥不在乎过去，亦不忙碌追求未来，他只享受当下的每一刻。此后再无一人听闻他的消息。自岳晓遥神隐之后，隐元阁也逐渐消失在江湖之中。唯一知道的是，不安于室的他，肯定还在某处继续着他的冒险……
26	(8,234202001,0,0)	国仇已灭，她将身上背负着的巨大秘密托付给了......这世上她认为最值得托付之人。<br>踏上熟悉又陌生的土地，她生于斯，长于斯，却未曾真正了解它的美丽。祭拜过了师父，她缓缓地走出残破的寺庙外，准备用自己的双眼，重新认识这个世界，走向崭新而未知的未来。<br>如今，她孑然一身，不再是孔雀王朝的圣女，亦非沐王府的郡主。<br>这一次，她是沐萍，仅此而已。
