#物品编号	物品名称	物品类别	物品种类	道具图示	物品描述(最多50字=10*5)断行要用<br>	买入价格	卖出价格	商店数量	堆栈数量上限	可否使用	使用时机	是否永久性增加	作用类型	参数	数值	讯息编号	作用类型	参数	数值	讯息编号	作用类型	参数	数值	讯息编号	使用物品时呼叫字符串 (显示名称用)	技艺书连结	武器类型	限制NPC	使用条件	装备tip	贩卖禁止
#iItemID	sItemName	iTtemType	iItemKind	sIcon	sTip	iItemBuy	iItemSell	iItemStack	iMixStack	iItemUse	iUseTime	iAddType	iRecover1	iArg1	iValue1	iString	iRecover2	iArg2	iValue2	iString	iRecover2	iArg3	iValue3	iString	iString	iAmsType	iLocking	sNpcLike	sUseLimit	tip	sell
100004	阴阳倒乱刃	1	0	i00642	相传为绝情谷主的独门武器，阴阳相辅，倒乱乾坤，端的是天下奇兵。	24000	6000	0	0	1	1	0	1	99	260	180001	7	900113	0	0	0	0	0	0	0	2	0	210002	(1,21,55)*(1,22,55)*(1,13,70)	荆棘专属武器	0
140001	逍遥散	4	0	i00742	恢复气血七百五、内力五百，解除负向状态一个。	200	100	2	0	1	2	1	8	0	750	0	9	0	500	0	18	0	1	0	0	0	0	0	0	0	0
140002	再造膏	4	0	i00802	恢复气血一千五、恢复内力一千五。	600	300	2	0	1	2	1	8	0	1500	0	9	0	1500	0	0	0	0	0	0	0	0	0	0	0	0
140003	承气散	4	0	i00739	恢复气血三千、内力两千。	1000	500	2	0	1	2	1	8	0	3000	0	9	0	2000	0	0	0	0	0	0	0	0	0	0	0	0
140004	黑玉断续膏	4	0	i00761	恢复气血五千，恢复内力四千，解除负向状态四个。	3500	1750	2	0	1	2	1	8	0	5000	0	9	0	4000	0	0	0	0	0	0	0	0	0	0	0	0
140005	天香断续胶	4	0	i00755	恢复气血八千，恢复内力六千，解除所有负向状态。	5000	2500	2	0	1	2	1	8	0	8000	0	9	0	6000	0	0	0	0	0	0	0	0	0	0	0	0
140006	三顺散	4	0	i00828	恢复气血三成，内力三成，解除负向状态三个。	1000	500	2	0	1	2	1	16	0	30	0	17	0	30	0	18	0	3	0	0	0	0	0	0	0	0
140007	双冲饮	4	0	i00809	恢复气血四成，内力六成。	1500	750	2	0	1	2	1	16	0	40	0	17	0	60	0	0	0	0	0	0	0	0	0	0	0	0
140008	三黄宝腊丹	4	0	i00733	恢复气血五成，内力七成。	2000	1000	2	0	1	2	1	16	0	50	0	17	0	70	0	0	0	0	0	0	0	0	0	0	0	0
140009	田七鲨胆散	4	0	i00732	恢复气血六成，内力六成，解负向状态二个。	3000	1500	2	0	1	2	1	16	0	60	0	17	0	60	0	18	0	2	0	0	0	0	0	0	0	0
140010	茯苓首乌丸	4	0	i00811	恢复气血八成，内力八成，解负向状态四个。	4000	2000	2	0	1	2	1	16	0	80	0	17	0	80	0	18	0	4	0	0	0	0	0	0	0	0
140011	九花玉露丸	4	0	i00738	恢复气血四成，内力回满。	2500	1250	2	0	1	2	1	16	0	40	0	17	0	100	0	0	0	0	0	0	0	0	0	0	0	0
140012	九转还魂丹	4	0	i00753	可以将气血与内力恢复到全满，解除所有负向状态。	6000	3000	2	0	1	2	1	16	0	100	0	17	0	100	0	18	0	20	0	0	0	0	0	0	0	0
140013	牛黄血竭丹	4	0	i00800	恢复气血三成并解除两个负向状态，三回合内每回合解除两个负向状态。	2500	1250	2	0	1	2	1	18	0	2	0	7	100133	0	0	0	0	0	0	0	0	0	0	0	0	0
