#ID	Name	icon 	Auto	RequestCondition	Passive	Tip	price
87000001	侠客		1	(1,0,0,0)	(9,100033,0)	0	0
87000002	侠客		1	(1,0,0,0)	(9,100060,0)	0	0
87000003	侠客		1	(1,0,0,0)	(9,100078,0)	0	0
87000004	侠客		1	(1,0,0,0)	(9,100082,0)	0	0
87000005	侠客		1	(1,0,0,0)	(9,100091,0)	0	0
87000006	侠客		1	(1,0,0,0)	(9,100134,0)	0	0
87000007	侠客		1	(1,0,0,0)	(9,100135,0)	0	0
87000008	侠客		1	(1,0,0,0)	(9,100297,0)	0	0
87000009	侠客		1	(1,0,0,0)	(9,100021,0)	0	0
87000010	侠客		1	(1,0,0,0)	(9,100043,0)	0	0
87000011	侠客		1	(1,0,0,0)	(9,100054,0)	0	0
87000012	侠客		1	(1,0,0,0)	(9,100056,0)	0	0
87000013	侠客		1	(1,0,0,0)	(9,100419,0)	0	0
87000014	侠客		1	(1,0,0,0)	(9,200022,0)	0	0
87000015	侠客		1	(1,0,0,0)	(9,200039,0)	0	0
87000016	侠客		1	(1,0,0,0)	(9,200044,0)	0	0
87000017	侠客		1	(1,0,0,0)	(9,210048,0)	0	0
87000018	侠客		1	(1,0,0,0)	(9,800035,0)	0	0
87000019	侠客		1	(1,0,0,0)	(9,800092,0)	0	0
87000020	侠客		1	(1,0,0,0)	(9,878150,0)	0	0
87000021	侠客		1	(1,0,0,0)	(9,878155,0)	0	0
87000022	侠客		1	(1,0,0,0)	(9,878162,0)	0	0
87000023	侠客		1	(1,0,0,0)	(9,878178,0)	0	0
87000024	侠客		1	(1,0,0,0)	(9,878188,0)	0	0
87000025	侠客		1	(1,0,0,0)	(9,878208,0)	0	0
87000026	侠客		1	(1,0,0,0)	(9,878217,0)	0	0
87000027	侠客		1	(1,0,0,0)	(9,878224,0)	0	0
87000028	侠客		1	(1,0,0,0)	(9,878226,0)	0	0
87000029	侠客		1	(1,0,0,0)	(9,878228,0)	0	0
87000030	侠客		1	(1,0,0,0)	(9,878241,0)	0	0
87000031	侠客		1	(1,0,0,0)	(9,878242,0)	0	0
87000032	侠客		1	(1,0,0,0)	(9,878262,0)	0	0
87000033	侠客		1	(1,0,0,0)	(9,878273,0)	0	0
87000034	侠客		1	(1,0,0,0)	(9,878274,0)	0	0
87000035	侠客		1	(1,0,0,0)	(9,878275,0)	0	0
87100101	心法	TalentIcon01	1	(1,0,0,0)	(8,60001,0)	0	0
87100102	心法	TalentIcon01	1	(1,0,0,0)	(8,60002,0)	0	0
87100103	心法	TalentIcon01	1	(1,0,0,0)	(8,60003,0)	0	0
87100104	心法	TalentIcon01	1	(1,0,0,0)	(8,60004,0)	0	0
87100105	心法	TalentIcon01	1	(1,0,0,0)	(8,60005,0)	0	0
87100106	心法	TalentIcon01	1	(1,0,0,0)	(8,60006,0)	0	0
87100107	心法	TalentIcon01	1	(1,0,0,0)	(8,60007,0)	0	0
87100108	心法	TalentIcon01	1	(1,0,0,0)	(8,60008,0)	0	0
87100109	心法	TalentIcon01	1	(1,0,0,0)	(8,60009,0)	0	0
87100110	心法	TalentIcon01	1	(1,0,0,0)	(8,60010,0)	0	0
87100111	心法	TalentIcon01	1	(1,0,0,0)	(8,60011,0)	0	0
87100112	心法	TalentIcon01	1	(1,0,0,0)	(8,60012,0)	0	0
87100113	心法	TalentIcon01	1	(1,0,0,0)	(8,60013,0)	0	0
87100114	心法	TalentIcon01	1	(1,0,0,0)	(8,60014,0)	0	0
87100115	心法	TalentIcon01	1	(1,0,0,0)	(8,60017,0)	0	0
87100116	心法	TalentIcon01	1	(1,0,0,0)	(8,60018,0)	0	0
87100117	心法	TalentIcon01	1	(1,0,0,0)	(8,60019,0)	0	0
87100118	心法	TalentIcon01	1	(1,0,0,0)	(8,60020,0)	0	0
87100119	心法	TalentIcon01	1	(1,0,0,0)	(8,60021,0)	0	0
87100120	心法	TalentIcon01	1	(1,0,0,0)	(8,60022,0)	0	0
87100121	心法	TalentIcon01	1	(1,0,0,0)	(8,60023,0)	0	0
87100122	心法	TalentIcon01	1	(1,0,0,0)	(8,60024,0)	0	0
87100123	心法	TalentIcon01	1	(1,0,0,0)	(8,60025,0)	0	0
87100124	心法	TalentIcon01	1	(1,0,0,0)	(8,60026,0)	0	0
87100125	心法	TalentIcon01	1	(1,0,0,0)	(8,60027,0)	0	0
87100126	心法	TalentIcon01	1	(1,0,0,0)	(8,60028,0)	0	0
87100127	心法	TalentIcon01	1	(1,0,0,0)	(8,60029,0)	0	0
87100128	心法	TalentIcon01	1	(1,0,0,0)	(8,60030,0)	0	0
87100129	心法	TalentIcon01	1	(1,0,0,0)	(8,60031,0)	0	0
87100130	心法	TalentIcon01	1	(1,0,0,0)	(8,60032,0)	0	0
87100131	心法	TalentIcon01	1	(1,0,0,0)	(8,60033,0)	0	0
87100132	心法	TalentIcon01	1	(1,0,0,0)	(8,60034,0)	0	0
87100133	心法	TalentIcon01	1	(1,0,0,0)	(8,60035,0)	0	0
87100134	心法	TalentIcon01	1	(1,0,0,0)	(8,60036,0)	0	0
87100135	心法	TalentIcon01	1	(1,0,0,0)	(8,60037,0)	0	0
87100136	心法	TalentIcon01	1	(1,0,0,0)	(8,60038,0)	0	0
87100137	心法	TalentIcon01	1	(1,0,0,0)	(8,60039,0)	0	0
87100138	心法	TalentIcon01	1	(1,0,0,0)	(8,60040,0)	0	0
87100139	心法	TalentIcon01	1	(1,0,0,0)	(8,60041,0)	0	0
87100140	心法	TalentIcon01	1	(1,0,0,0)	(8,60042,0)	0	0
87100141	心法	TalentIcon01	1	(1,0,0,0)	(8,60043,0)	0	0
87100142	心法	TalentIcon01	1	(1,0,0,0)	(8,60044,0)	0	0
