#iEndID	strMusic	iChildEndPlay	strDesc
1	Y000079	1	纵使荆棘忘却了一切，但卫紫绫的逝去，也带走了他的纯真。成为天下第一这个单纯的愿景，渐渐扭曲成了咒缚。荆棘踏上了和谷月轩不同的道路。
2	Y000079	1	倏忽又是数年，无瑕子收东方未明作为关门弟子。荆棘、卫紫绫由于年纪与东方未明相近，三人交好，时时互相砥砺磨练。
4	Y000009	0	谷月轩泯然于众，再无一人知道其下落。<br>有人说，荆棘为报师仇，加入天龙教。他的身影也被淹没在天龙教与辟邪宫连年大战之中。<br>不知多少年后，有一比丘尼在逍遥谷旧址上搭建了一座简陋的草庐，在此过着青灯礼佛的隐世生活。<br>时不时，会看到她在屋外的三座无名坟冢前落泪低语…
5	Y000009	0	谷月轩、荆棘、卫紫绫败于敌人之手，遭到囚禁。<br>得知爱徒被囚，无瑕子怒而出手，救出了三人。<br>但谷月轩、荆棘已成废人，卫紫绫不知遭遇过什么惨事，沦为疯子。<br>无瑕子伤心自责，从此病倒，不久便与世长辞。<br>独留老胡照顾三人……
6	Y000009	0	谷月轩、荆棘等人在辟邪宫失手被擒。<br>辟邪老人正式现身于世人面前，手刃三人祭旗，宣告辟邪宫的崛起……<br>江湖掀起腥风血雨，猝不及防的各门各派或者被灭，或选择投诚辟邪宫。<br>并吞无数门派的辟邪老人，挟着庞大的势力，和天龙教决战于西域大漠。<br>此役之后，无数英豪侠客埋骨于大漠之中，中原的江湖人士凋敝，民间动荡不安，更因此引起外族觊觎……<br>自此，侠客淡出了历史舞台……
7	Y000009	0	逍遥三仙与少侠们连手对敌，依旧不敌天意城主率领的大批人马。<br>除去知情者，幕后的黑影长舒了一口气，他知道这世上再也没人能阻止自己的脚步。<br>「江湖？」他冷笑一声，「我的目标是天下。」<br>潜藏在江湖深处的一股新势力浮出水面，取代了辟邪宫，它的名字叫──天意城。
22	Y000009	1	谷月轩与荆棘出师不利，甫出谷便遭逢强敌，受到极大的挫败。幸得偶然路过的一名浪人相助，方能保全性命。浪人带着一只金翅巨鹰，神武非常，形象竟与传闻中的天龙教护法迦楼罗神似。<br>大难不死的师兄弟二人，从此隐居逍遥谷，潜心修练。另一方面，酆都与天龙教的斗争越演越烈，双雄终在天都峰上一决死战。酆都帮主阎罗败给了龙王，天龙教大获全胜，但也因此元气大伤，推迟了并吞武林的野望。而酆都则全盘覆灭，埋没在江湖的洪流之中……
23	Y000044	0	壮志未成，黄沙埋骨。<br>战略上的失误、接连的损兵折将最终导致了酆都的覆灭，<br>就如同无数淹没于时代洪流中的先人一样，<br>阎丹生的雄心随着腐朽的尸骨在风中散去，<br>化为后世看倌口中，那一声声悲凉的嗟息……
24	Y000008	0	一代豪杰，最后的意识，就此消失在无尽的狂暴和愤怒之中。<br>剧本就如同神秘老者谋画的那般发展，阎丹生和他的酆都，成为了老者手下一枚有力的棋子，<br>将在不远的未来，为他的计划献上重要的一步。至于老者所图为何？能够挺身阻止此人的英雄豪杰，身在何处？<br>那又是，另一段故事了……
25	Y000077	0	天意城烟消云散，三方角力的最后，以天龙教的覆灭、锦衣卫指挥使游进的败亡，以及正道武林降伏于酆都手下收场，武林各派接受了酆都的提议，不再插手酆都的进军，并致力于收容保护各地因战乱而流离失所的百姓，将酆都进军的影响降到最低。<br>锦衣卫和正派联盟的失败，令朝廷更加畏惧酆都声威，遣使招安，然而阎丹生早已下定了决心，杀官放火，连斩来使，没有人能够阻挡他一举根除腐败朝廷的雄心。<br>诗云：朝为田舍郎，暮登天子堂；将相本无种，男儿当自强。<br>各地烽火四起，百姓纷纷响应归附，朝廷无力镇压，节节败退，<br>不过数年，阎丹生率大军攻入皇城，将当今皇帝斩于殿内，枭首示众，在百姓的欢呼声中，酆都的大旗冉冉升起。历史，在今日写下了崭新的一页……
