#关卡编号	关卡名称	战斗编号	关卡种类	分歧编号	是否重复任务	出现机率权重	显示条件	进入条件	关闭条件	限制回合	关卡图标位置	关卡说明	限定角色	经验奖励	威望奖励	金钱奖励	道具奖励	战前对话
#Number	Name	Battle Area	Type	iGroup	iRepeat	Weights	Display	Enter	Close	Round	Location	Desc	Shaq	EXP	Fame	Money	Item	BeTalk
100001	阿鼻岛英杰破风浪	8700001	1	0	0	0	0	0	0	0	100001	闽粤武师阎丹生，十年前出海闯荡，却遭逢海难，漂流至东海阿鼻岛。塞翁失马，焉知非福，其于岛上意外觅得神功-无间大法，潜心修练十载，竟成一方高手；但如今神功虽成，荒岛之上却苦无发挥之处，阎丹生遥望隔海群山，下定决心，出海重回中原的时刻已然到来。	0	0	0	500	140002,140006	0
100002	退倭贼东海识蛟龙	8700002	1	0	0	0	(25,100001,0,0)	0	0	0	100002	阎丹生救下东海龙宫帮众，听闻率领龙宫者乃一名为敖广的年轻小伙，心下大奇，便随龙宫帮众前去拜会这位东海龙王，谁知众人抵达龙宫后，前方海上等待着他们的却是......	0	0	0	500	141146,141146	0
100003	会神枪三英齐聚义	8700003	1	0	0	0	(25,100002,0,0)	0	0	0	100003	阎丹生加入龙宫后，势力日渐增强，但阎丹生在打听过倭寇首领黑冢罗王的来历后，心知单靠东海龙宫一帮之力，远非东瀛倭国之敌，此时敖广提起了另一个在杭州左近的帮会......	0	0	0	500	140003,140200	0
100004	全忠义夜闯勤王府	8700004	1	0	0	0	(25,100003,0,0)	0	0	0	100004	东海龙宫、神枪会沿海两大帮派在阎丹生斡旋之下，互为犄角，首尾相连，与倭寇数次冲突皆是大胜而回，两帮士气为之一振，官府见其势大，更是不敢再随便招惹。敖广、罗煞原先互不服气的态度，亦在数次并肩作战中逐渐转为钦佩，此间阎丹生自然功不可没。一夜三人宴饮之间，罗煞突然说起自己过去在朝廷的日子…	0	0	0	500	141118,140201,187000	0
100005	战锦衣双英救少妇	8700005	1	0	0	0	(25,100004,0,0)	0	0	0	100005	阎丹生等人得知勤王尚有一名幼子在世，而助其藏匿的勤王余党如今已遭锦衣卫锁定，情况危急，立刻遣人往湖广一带搜索......	0	0	0	500	140202,140203,187000	0
100006	刀剑交虬髯战铁面	8700006	1	0	0	0	(25,100005,0,0)	0	0	0	100006	与敖广、罗煞兵分二路的阎丹生，紧追着那名劫走婴孩的铁面人，此时，那名铁面人却突然停下了脚步...	0	0	0	500	140013,140236,187000	0
100007	生死判知府会巨寇	8700007	1	0	0	0	(25,100006,0,0)	0	0	0	100007	阎丹生等人收留了无依无靠的孟倩思，而她自夫君聂胜身上学来的匿踪和探查技艺，亦补足了众人原先在情报收集上的不足。一日，两帮弟子忽然来报，城中帮众遭到新上任的杭州知府擒住，据传此人不但雷风厉行，武功更是高强，阎丹生正纳闷间，忽见山下火光冲天...	0	0	0	500	140016,140204,140000	0
100008	明月夜倩影探渡口	8700008	1	0	0	0	(25,100007,0,0)	0	0	0	100008	东海龙宫、神枪会遵从阎丹生指示，与官兵彼此收敛，相安无事。文靖之当日受迫而退，竟也按照约定，不再主动上门讨伐。经此一战，阎丹生时常独自沉思，敖广、罗煞不以为意，只道他最近在武学一道又有了新的感悟，一旁的孟倩思却都瞧在眼中…	0	0	0	500	140406,140110,140000	0
100009	护知府阎王战厂公	8700009	1	0	0	0	(25,100008,0,0)	0	0	0	100009	孟倩思探得了东厂欲除去文靖之的阴谋，却也遭到陈公公发觉，虽不知他会如何因应，阎丹生仍决定将计就计，在文靖之出巡的路上暗中保护...	0	0	0	500	140017,140008,187000	0
100010	保铁叉酆都退天龙	8700010	1	0	0	0	(25,100009,0,0)	0	0	0	100010	光阴荏苒，十多年过去，东海龙宫、神枪会二帮合二为一，蜕变为打着「判罪决业，审阴断阳」旗号的酆都，吸收了大大小小的沿海帮派，外抗倭寇，内反朝廷，赢得了不少下层百姓的支持，俨然成为了割据于东南方的一大军事势力。某日，一名远从苗疆而来的老者来到了东海分舵，于此同时，雾茫茫的海上，巨大的黑影若隐若现...	0	0	0	500	140015,140103,140000	0
100011	劫孔雀鬼众战云滇	8700011	1	0	0	0	(25,100010,0,0)	0	0	0	100011	铁叉会加盟后，酆都势力扩展到了两广和云贵一带，与天龙教冲突首战告捷，更让酆都声威大震，归附者络绎不绝。在西南站稳脚跟后，阎罗率领帮众，前往黑冢罗王指示的地点拦截孔雀王朝的残兵部队，而此时出现在众人眼前这支部队却是...	0	0	0	800	140703,140234,140000	0
