#Number	Name	Battle Area	Type	iGroup	iRepeat	Weights	Display	Enter	Close	Round	Location	Desc	Shaq	EXP	Fame	Money	Item	BeTalk
#关卡编号	关卡名称	战斗编号	关卡种类	分歧编号	是否重复任务	出现机率权重	显示条件	进入条件	关闭条件	限制回合	关卡图标位置	关卡说明	限定角色	经验奖励	威望奖励	金钱奖励	道具奖励	战前对话
100001	挑战1	8700001	1	0	1	0	0	0	0	0	100001		0	1000	1	350	140001	0
100002	挑战2	8700002	1	0	1	0	(25,100001,0,0)	0	0	0	100002		0	1000	1	350	140001	0
100003	挑战3	8700003	1	0	1	0	(25,100002,0,0)	0	0	0	100003		0	1000	1	350	140002	0
100004	挑战4	8700004	1	0	1	0	(25,100003,0,0)	0	0	0	100004		0	1000	1	350	140002	0
100005	挑战5	8700005	1	0	1	0	(25,100004,0,0)	0	0	0	100005		0	1000	1	350	140003	0
100006	挑战6	8700006	1	0	1	0	(25,100005,0,0)	0	0	0	100006		0	1000	1	350	140003	0
100007	挑战7	8700007	1	0	1	0	(25,100006,0,0)	0	0	0	100007		0	1000	1	350	140014	0
100008	挑战8	8700008	1	0	1	0	(25,100007,0,0)	0	0	0	100008		0	1000	1	350	140014	0
100009	挑战9	8700009	1	0	1	0	(25,100008,0,0)	0	0	0	100009		0	1000	1	350	140100	0
100010	挑战10	8700010	1	0	1	0	(25,100009,0,0)	0	0	0	100010		0	1000	1	350	140100	0
100011	挑战11	8700011	1	0	1	0	(25,100010,0,0)	0	0	0	100011		0	1000	1	400	140101	0
100012	挑战12	8700012	1	0	1	0	(25,100011,0,0)	0	0	0	100012		0	1000	1	400	140101	0
100013	挑战13	8700013	1	0	1	0	(25,100012,0,0)	0	0	0	100013		0	1000	1	400	140102	0
100014	挑战14	8700014	1	0	1	0	(25,100013,0,0)	0	0	0	100014		0	1000	1	400	140102	0
100015	挑战15	8700015	1	0	1	0	(25,100014,0,0)	0	0	0	100015		0	1000	1	400	140103	0
100016	挑战16	8700016	1	0	1	0	(25,100015,0,0)	0	0	0	100016		0	1000	1	400	140103	0
100017	挑战17	8700017	1	0	1	0	(25,100016,0,0)	0	0	0	100017		0	1000	1	400	140104	0
100018	挑战18	8700018	1	0	1	0	(25,100017,0,0)	0	0	0	100018		0	1000	1	400	140104	0
100019	挑战19	8700019	1	0	1	0	(25,100018,0,0)	0	0	0	100019		0	1000	1	400	140200	0
100020	挑战20	8700020	1	0	1	0	(25,100019,0,0)	0	0	0	100020		0	1000	1	400	140200	0
100021	挑战21	8700021	1	0	1	0	(25,100020,0,0)	0	0	0	100021		0	1000	1	450	140202	0
100022	挑战22	8700022	1	0	1	0	(25,100021,0,0)	0	0	0	100022		0	1000	1	450	140202	0
100023	挑战23	8700023	1	0	1	0	(25,100022,0,0)	0	0	0	100023		0	1000	1	450	140203	0
100024	挑战24	8700024	1	0	1	0	(25,100023,0,0)	0	0	0	100024		0	1000	1	450	140203	0
100025	挑战25	8700025	1	0	1	0	(25,100024,0,0)	0	0	0	100025		0	1000	1	450	140206	0
100026	挑战26	8700026	1	0	1	0	(25,100025,0,0)	0	0	0	100026		0	1000	1	450	140206	0
100027	挑战27	8700027	1	0	1	0	(25,100026,0,0)	0	0	0	100027		0	1000	1	450	140207	0
100028	挑战28	8700028	1	0	1	0	(25,100027,0,0)	0	0	0	100028		0	1000	1	450	140207	0
100029	挑战29	8700029	1	0	1	0	(25,100028,0,0)	0	0	0	100029		0	1000	1	450	140212,140215	0
100030	挑战30	8700030	1	0	1	0	(25,100029,0,0)	0	0	0	100030		0	1000	1	450	140212,140215	0
400001	挑战31	8700031	1	0	1	0	(25,100030,0,0)	0	0	0	400001		0	1000	1	500	140213,140214	0
