#编号	3D模块文件名	NPC战斗用图	NPC全身图	NPC队伍图	NPC 小图	是否记录友好度	NPC名称	人物简介	性别	派别ICON	称号设定
#iID	s3DModel	sMaxImage	sAllImage	sMemberImage	sSmallImage	iFriendly	sNpcName	sIntroduction	iGenderType	iMartialType	sTitle
100011	TL_ghost2	B100011	100011	M100011	S100011	0	姬无双	本名姬无双，天龙八部之夜叉，身着红衣的艳美女子。擅长轻功，邪气逼人，龙王麾下的第一战将。	0	1	夜叉
100014	Player	B100014	100014	M100014	S100014	0	东方未明	初出江湖的少年，胸怀壮志，一心想要成为像小虾米那样的大英雄。	1	2	江湖游侠
100015	Xyg_Xuan	B100015	100015	M100015	S800015	1	谷月轩	逍遥谷第四代大弟子，温文儒雅，气宇轩昂。曾与师弟荆棘、师妹卫紫绫在数年前大破辟邪宫阴谋，是当代武林的传奇人物。虽在辟邪宫一役中强使万象归一而使经脉受损、终身难至绝顶高手之境，其实力仍不可小觑。	1	2	逍遥大儒侠
100016	Xyg_Gingi	B100016	100016	M100016	S800016	1	荆棘	逍遥谷第四代二弟子，擅使刀剑，武艺十分高强。他的性格就像一团烈火，容易灼伤别人、也容易灼伤自己。然而在与谷月轩与卫紫绫、还有师弟东方未明的相处之中，逐渐变得温和，至今已是威望武功皆首屈一指的人物。	1	2	刀剑金蛟
100035	Wyg_sheng	B100035	100035	M100035	S100035	1	沈湘芸	娴雅端秀，为忘忧谷神医之女。通灵体质，平素温和善良，有些小任性。但对厌恶的人事物毫不假以辞色。喜欢研究新的丹药，有收集伞的嗜好。	0	29	小医仙
100036	WD_Gushi	B100036	100036	M100036	S100036	1	古实	武当派古叶之子，为人正直憨厚。武功虽平平，不过生性不服输，苦干实练，有朝一日终可有所成，非常喜爱品茶。	1	3	以柔克刚
100037	WD_fang	B100037	100037	M100037	S100037	1	方云华	武当派大弟子。相貌堂堂，风流倜傥，武功为当代弟子之首，自称是风流剑客。除了女人之外，对于历代书法名家的作品也多有偏爱。	1	3	玉面侠剑
100057	Pili_red	B100057	100057	M100057	S100057	1	秦红殇	霹雳堂护法，一心想重振霹雳堂威名。看似高傲强悍，实则内心也有柔情似水的一面。	0	7	霹雳火
100059	Etc_shiyan	B100059	100059	M100059	S100059	1	史燕	身世不详，人称「盗墓燕」。由于从小便是孤儿，养成独立而古灵精怪的个性，见钱眼开，喜好一切的财宝古玩，尤以金饰为甚。	0	0	盗墓燕
100061	killer_snow	B100061	100061	M100061	S100061	1	风吹雪	天意城杀手，代号为「花」。为四大杀手之一「恃」的徒弟。忠于组织，外冷内热；容貌秀美，气质孤傲。平日作男性打扮行动。师父「恃」因任务失败而死，此后便一直等待着为师父复仇的机会。	0	10	天意之花
100066	Guanfu_shiyi	B100066	100066	M100066	S100066	1	史义	绿林好汉，豪气干云。喜欢寻宝，对人常自称是水浒英雄史进的后代。	1	24	九头龙
100075	Jiang_Yu	B100075	100075	M100075	S100075	1	江瑜	河洛大侠江天雄之子，年纪轻轻便已得其父天罡拳真传。谦和有礼，心思缜密。平日喜欢与白马寺住持灵相禅师讨论佛学，对于佛学涉猎极深。	1	0	小神童
100089	BG_sheng02	B100089	100089	M100089	S100089	1	商仲仁	八卦门商鹤鸣之子。一手八卦刀，炉火纯青，招招不留情，人称九转连环刀。为人小奸恶、喜算计，志在振兴八卦门。喜好附庸风雅，收藏各名家字帖，藉以掩饰其恶性。	1	16	九转连环刀
100092	Etc_fu	B100092	100092	M100092	S100092	1	傅剑寒	无门无派的游侠。生性潇洒，交游广阔。好饮酒，酒量无底。擅使剑，剑法多变。与杨云为莫逆之交。	1	0	江湖游侠
100094	Weapon_nan	B100094	100094	M100094	S100094	1	任剑南	铸剑山庄少庄主，任家世代以铸剑为志，不少神兵皆是出自铸剑山庄。好玩乐，喜古画。沉迷音律，荒于铸剑，武功平常。手中的白晶剑削铁如泥，兵家必争。	1	18	白晶剑客
100098	Gb_Xiaoyao	B100098	100098	M100098	S100098	1	萧遥	自幼便遭继父赶出家门，拜入丐帮大忠堂。悟性颇高，爱书成痴，尤对古代的历史及小说颇有涉猎。也喜品尝美食，拥有一身死缠滥打的功夫。	1	19	见人伸手
100299	CC_yen	B100299	100299	M100299	S100299	1	燕宇	青城派首席弟子，视剑如命，其剑法已得青城派真传。冷面寡言，极少表露内心想法。能识人，轻生重道的剑客。	1	22	一字电剑
100419	Wyg_Flower2	B100419	100419	M100419	S100419	1	花痴	忘忧七贤之一，园艺天下无双，一年一度洛阳花会的评审。除了无瑕子外，还与奇女子任清璇是忘年之交。个性内向害羞，不善言谈，但一提到园艺就能侃侃而谈。	0	29	忘忧七贤
200000	xiaoyao_purple	B200000	200000	M200000	S200000	1	卫紫绫	银枪卫豹的千金，精灵古怪，聪黠多变。个性有些刁蛮任性且得理不饶人，对于看不过眼的事绝不宽放。然而内心十分温柔善良，偶尔也会展现柔情似水的一面。	0	36	紫霓裳
