#獎勵編號	作用項目	備註
#iRID	sRewardData	tip
870001	(24,131000013,0,0,0)*(20,menu0,2,0,0)*(20,menu2,2,0,0)	結束對話_主線1
870002	(24,131000023,0,0,0)*(26,878001,1,0,0)*(26,878001,1,0,0)*(20,menu1,2,0,0)*(20,menu3,2,0,0)*(20,menu4,2,0,0)	結束對話_主線2
870003	(24,131000033,0,0,0)*(26,878002,1,0,0)*(26,878002,1,0,0)*(5,187087,10,210043,0)	結束對話_主線3
870004	(24,131000043,0,0,0)	結束對話_主線4
870005	(24,131000053,0,0,0)	結束對話_主線5
870006	(24,131000063,0,0,0)	結束對話_主線6
870007	(24,131000073,0,0,0)	結束對話_主線7
870008	(24,131000083,0,0,0)	結束對話_主線8
870009	(24,131000093,0,0,0)	結束對話_主線9
870010	(24,131000103,0,0,0)*(26,878044,1,0,0)*(26,878081,1,0,0)	結束對話_主線10
870011	(24,131000113,0,0,0)	結束對話_主線11
870012	(24,131000123,0,0,0)	結束對話_主線12
870013	(24,131000133,0,0,0)	結束對話_主線13
870014	(24,131000143,0,0,0)	結束對話_主線14
870015	(24,131000153,0,0,0)	結束對話_主線15
870016	(24,131000163,0,0,0)	結束對話_主線16
870017	(24,131000173,0,0,0)	結束對話_主線17
870018	(24,131000183,0,0,0)	結束對話_主線18
870019	(24,131000193,0,0,0)	結束對話_主線19
870020	(24,131000203,0,0,0)*(26,878141,1,0,0)*(26,878141,1,0,0)*(26,878141,1,0,0)	結束對話_主線20、霹靂堂+3
870021	(24,131000213,0,0,0)*(26,878148,1,0,0)*(26,878148,1,0,0)*(26,878153,1,0,0)*(26,878153,1,0,0)	結束對話_主線21、絕刀門+2、百草門+2
870022	(24,131000223,0,0,0)*(26,878161,1,0,0)*(26,878161,1,0,0)*(26,878161,1,0,0)	結束對話_主線22、青城派+3
870023	(24,131000233,0,0,0)*(26,878167,1,0,0)*(26,878168,1,0,0)*(26,878169,1,0,0)*(26,878171,1,0,0)	結束對話_主線23、四種野獸
870024	(24,131000243,0,0,0)*(26,878176,1,0,0)*(26,878176,1,0,0)*(26,878177,1,0,0)*(26,878177,1,0,0)	結束對話_主線24、天山男女各+2
870025	(24,131000253,0,0,0)*(26,878366,1,0,0)*(26,878366,1,0,0)*(26,878092,1,0,0)*(26,878092,1,0,0)	結束對話_主線25、金風+2、海鯊+2
870026	(24,131000263,0,0,0)*(26,878004,1,0,0)*(26,878005,1,0,0)*(26,878006,1,0,0)	結束對話_主線26、厲鬼、絕鬼、倀鬼各+1
870027	(24,131000273,0,0,0)*(26,878200,1,0,0)*(26,878201,1,0,0)*(26,878202,1,0,0)	結束對話_主線27、銅人刀棍拳各+1
870028	(24,131000283,0,0,0)*(26,878218,1,0,0)*(26,878219,1,0,0)*(26,878220,1,0,0)*(26,878220,1,0,0)*(30,1,0,990098,0)	結束對話_主線28、東廠殺手+2、大刀隊、長槍兵各+1；打探次數+1
870029	(24,131000293,0,0,0)	結束對話_主線29
870030	(24,131000303,0,0,0)	結束對話_主線30
871001	(5,187087,5,210043,0)	主線一，麻繩
871002	(5,140117,1,210043,0)	主線一，石斑
871003	(20,join1,2,0,0)	開啟兵種Flag，酆都厲鬼(沒用)
871004	(20,join2,2,0,0)	開啟兵種Flag，酆都倀鬼(沒用)
871005	(20,join3,2,0,0)	開啟兵種Flag，酆都絕鬼(沒用)
871006	(20,join4,2,0,0)	開啟兵種Flag，酆都豔鬼(沒用)
871007	(20,menu0,2,0,0)	開啟畫面按鈕，俠客
