#經驗曲線種類	等級2(累計)	等級3(累計)	等級4(累計)	等級5(累計)	等級6(累計)	等級7(累計)	等級8(累計)	等級9(累計)	等級10(累計)
1	1000	2000	3000	4000	5500	7000	8500	10500	15000
2	1200	2400	3600	4800	6500	8200	9900	12100	17000
3	1400	2800	4200	5600	7500	9400	11300	13700	19000
4	1600	3200	4800	6400	8500	10600	12700	15300	21000
5	1800	3600	5400	7200	9500	11800	14100	16900	23000
6	2000	4000	6000	8000	10500	13000	15500	18500	25000
7	2200	4400	6600	8800	11500	14200	16900	20100	27000
8	2400	4800	7200	9600	12500	15400	18300	21700	29000
9	2600	5200	7800	10400	13500	16600	19700	23300	31000
10	2800	5600	8400	11200	14500	17800	21100	24900	33000
11	3000	6000	9000	12000	15500	19000	22500	26500	35000
