#商店編號	(沒用)	道具編號	(沒用)	(沒用)	出現條件	出現機率%
#iStoreID	useless	sItemID	useless	useless	Condition	Weights
1000087	0	140001	0	1	(1,0,0,0)	100
1000087	0	140002	0	1	(1,0,0,0)	80
1000087	0	140003	0	1	(1,0,0,0)	60
1000087	0	140004	0	1	(1,0,0,0)	40
1000087	0	140005	0	1	(1,0,0,0)	20
1000087	0	140006	0	1	(1,0,0,0)	100
1000087	0	140007	0	1	(1,0,0,0)	80
1000087	0	140008	0	1	(1,0,0,0)	60
1000087	0	140009	0	1	(1,0,0,0)	40
1000087	0	140010	0	1	(1,0,0,0)	40
1000087	0	140011	0	1	(1,0,0,0)	20
1000087	0	140012	0	1	(1,0,0,0)	20
1000087	0	140013	0	1	(1,0,0,0)	50
1000087	1	140014	0	1	(1,0,0,0)	50
1000087	0	140015	0	1	(1,0,0,0)	30
1000087	0	140016	0	1	(1,0,0,0)	50
1000087	0	140017	0	1	(1,0,0,0)	30
1000087	0	140100	0	1	(1,0,0,0)	5
1000087	0	140102	0	1	(1,0,0,0)	3
1000087	0	140103	0	1	(1,0,0,0)	3
1000087	0	140105	0	1	(1,0,0,0)	50
1000087	0	140106	0	1	(1,0,0,0)	30
1000087	0	140107	0	1	(1,0,0,0)	30
1000087	0	140108	0	1	(1,0,0,0)	30
1000087	0	140109	0	1	(1,0,0,0)	5
1000087	0	140110	0	1	(1,0,0,0)	30
1000087	0	140111	0	1	(1,0,0,0)	5
1000087	0	140112	0	1	(1,0,0,0)	3
1000087	0	140113	0	1	(1,0,0,0)	3
1000087	0	140114	0	1	(1,0,0,0)	3
1000087	0	140115	0	1	(1,0,0,0)	3
1000087	0	140116	0	1	(1,0,0,0)	3
1000087	0	140117	0	1	(1,0,0,0)	3
1000087	0	140118	0	1	(1,0,0,0)	3
1000087	0	140200	0	1	(1,0,0,0)	50
1000087	0	140201	0	1	(1,0,0,0)	50
1000087	0	140202	0	1	(1,0,0,0)	50
1000087	0	140203	0	1	(1,0,0,0)	50
1000087	0	140204	0	1	(1,0,0,0)	50
1000087	0	140205	0	1	(1,0,0,0)	50
1000087	0	140206	0	1	(1,0,0,0)	50
1000087	0	140207	0	1	(1,0,0,0)	50
1000087	0	140208	0	1	(1,0,0,0)	50
1000087	0	140209	0	1	(1,0,0,0)	50
1000087	0	140210	0	1	(1,0,0,0)	10
1000087	0	140211	0	1	(1,0,0,0)	50
1000087	0	140212	0	1	(1,0,0,0)	50
1000087	0	140213	0	1	(1,0,0,0)	50
1000087	0	140214	0	1	(1,0,0,0)	50
1000087	0	140215	0	1	(1,0,0,0)	50
1000087	0	140216	0	1	(1,0,0,0)	50
1000087	0	140217	0	1	(1,0,0,0)	30
1000087	0	140218	0	1	(1,0,0,0)	10
1000087	0	140219	0	1	(1,0,0,0)	30
1000087	0	140220	0	1	(1,0,0,0)	50
1000087	0	140221	0	1	(1,0,0,0)	30
1000087	0	140222	0	1	(1,0,0,0)	50
1000087	0	140223	0	1	(1,0,0,0)	50
1000087	0	140224	0	1	(1,0,0,0)	50
1000087	0	140225	0	1	(1,0,0,0)	50
1000087	0	140226	0	1	(1,0,0,0)	50
1000087	0	140227	0	1	(1,0,0,0)	50
1000087	0	140228	0	1	(1,0,0,0)	50
1000087	0	140229	0	1	(1,0,0,0)	20
1000087	0	140230	0	1	(1,0,0,0)	50
1000087	0	140231	0	1	(1,0,0,0)	50
1000087	0	140232	0	1	(1,0,0,0)	50
1000087	0	140300	0	1	(1,0,0,0)	100
1000087	0	140301	0	1	(1,0,0,0)	100
1000087	0	140302	0	1	(1,0,0,0)	60
1000087	0	140303	0	1	(1,0,0,0)	40
1000087	0	140304	0	1	(25,100010,0,0)	5
1000087	0	140306	0	1	(1,0,0,0)	60
1000087	0	140307	0	1	(1,0,0,0)	40
1000087	0	140308	0	1	(1,0,0,0)	20
1000087	0	140309	0	1	(25,100010,0,0)	5
1000087	0	140310	0	1	(1,0,0,0)	40
1000087	0	140311	0	1	(1,0,0,0)	20
1000087	0	140312	0	1	(25,100010,0,0)	5
1000087	0	140313	1	1	(1,0,0,0)	5
1000087	0	140400	0	1	(1,0,0,0)	100
1000087	0	140401	0	1	(1,0,0,0)	60
1000087	0	140402	0	1	(1,0,0,0)	60
1000087	0	140403	0	1	(1,0,0,0)	60
1000087	0	140404	0	1	(1,0,0,0)	60
1000087	0	140405	0	1	(1,0,0,0)	50
1000087	0	140406	0	1	(1,0,0,0)	50
1000087	0	140407	0	1	(1,0,0,0)	50
1000087	0	140408	0	1	(1,0,0,0)	50
1000087	0	140409	0	1	(1,0,0,0)	50
1000087	0	140413	0	1	(1,0,0,0)	20
1000087	0	140414	0	1	(25,100010,0,0)	5
1000087	0	140415	0	1	(25,100010,0,0)	5
1000087	0	140416	0	1	(25,100010,0,0)	5
1000087	0	140600	0	1	(1,0,0,0)	50
1000087	0	140601	0	1	(1,0,0,0)	80
1000087	0	140602	0	1	(1,0,0,0)	40
1000087	0	140603	0	1	(1,0,0,0)	40
1000087	0	140604	0	1	(1,0,0,0)	40
1000087	0	140605	0	1	(25,100010,0,0)	5
1000087	0	140606	0	1	(1,0,0,0)	80
1000087	0	140607	0	1	(1,0,0,0)	40
1000087	0	140610	0	1	(25,100010,0,0)	5
1000087	0	140700	0	1	(1,0,0,0)	50
1000087	0	140701	0	1	(1,0,0,0)	80
1000087	0	140702	0	1	(1,0,0,0)	60
1000087	0	140703	0	1	(1,0,0,0)	60
1000087	0	140704	0	1	(1,0,0,0)	60
1000087	0	140705	0	1	(1,0,0,0)	60
1000087	0	140706	0	1	(1,0,0,0)	40
1000087	0	140707	0	1	(1,0,0,0)	40
1000087	0	140708	0	1	(1,0,0,0)	40
1000087	0	140709	0	1	(1,0,0,0)	40
1000087	0	140710	0	1	(1,0,0,0)	40
1000087	0	140711	0	1	(25,100010,0,0)	5
1000087	0	140712	0	1	(25,100010,0,0)	5
1000087	0	140713	0	1	(25,100010,0,0)	5
1000087	0	140800	1	1	(1,0,0,0)	50
1000087	0	140801	2	1	(1,0,0,0)	80
1000087	0	140802	3	1	(1,0,0,0)	40
1000087	0	140803	4	1	(1,0,0,0)	20
1000087	0	140804	5	1	(25,100010,0,0)	5
1000087	0	140900	6	1	(1,0,0,0)	50
1000087	0	140901	7	1	(1,0,0,0)	80
1000087	0	140902	8	1	(1,0,0,0)	80
1000087	0	140903	9	1	(1,0,0,0)	50
1000087	0	140904	10	1	(1,0,0,0)	50
1000087	0	140905	11	1	(1,0,0,0)	50
1000087	0	140906	12	1	(1,0,0,0)	50
1000087	0	140907	13	1	(1,0,0,0)	50
1000087	0	140908	14	1	(25,100010,0,0)	5
1000087	0	140909	15	1	(25,100010,0,0)	5
1000087	0	140910	16	1	(25,100010,0,0)	5
1000087	0	140911	17	1	(25,100010,0,0)	5
1000087	0	141000	0	1	(1,0,0,0)	100
1000087	0	141001	0	1	(1,0,0,0)	80
1000087	0	141002	0	1	(1,0,0,0)	100
1000087	0	141003	0	1	(1,0,0,0)	60
1000087	0	141004	0	1	(1,0,0,0)	60
1000087	0	141005	0	1	(1,0,0,0)	60
1000087	0	141006	0	1	(1,0,0,0)	20
1000087	0	141007	0	1	(1,0,0,0)	20
1000087	0	141008	0	1	(1,0,0,0)	80
1000087	0	141009	0	1	(25,100010,0,0)	10
1000087	0	141010	0	1	(1,0,0,0)	50
1000087	0	141011	0	1	(1,0,0,0)	50
1000087	0	141012	0	1	(1,0,0,0)	40
1000087	0	141013	0	1	(1,0,0,0)	40
1000087	0	141014	0	1	(25,100010,0,0)	10
1000087	0	141015	0	1	(1,0,0,0)	60
1000087	0	141016	0	1	(1,0,0,0)	30
1000087	0	141017	0	1	(25,100010,0,0)	10
1000087	0	141018	0	1	(1,0,0,0)	60
1000087	0	141019	0	1	(25,100010,0,0)	10
1000087	0	141103	0	1	(1,0,0,0)	10
1000087	0	141105	0	1	(1,0,0,0)	40
1000087	0	141108	0	1	(1,0,0,0)	30
1000087	0	141109	0	1	(1,0,0,0)	30
1000087	0	141123	0	1	(1,0,0,0)	50
1000087	0	141124	0	1	(1,0,0,0)	40
1000087	0	141125	0	1	(1,0,0,0)	30
1000087	0	141127	0	1	(1,0,0,0)	20
1000087	0	141128	0	1	(1,0,0,0)	20
1000087	0	141132	0	1	(1,0,0,0)	30
1000087	0	141137	0	1	(1,0,0,0)	50
1000087	0	141138	0	1	(1,0,0,0)	30
1000087	0	141139	0	1	(1,0,0,0)	10
1000087	0	141140	0	1	(1,0,0,0)	30
