#ID	随机怪物数量
8700001	2
8700002	2
8700003	2
8700004	2
8700005	2
8700006	2
8700007	2
8700008	2
8700009	2
8700010	2
8700011	2
8700012	2
8700013	2
8700014	2
8700015	2
8700016	2
8700017	2
8700018	2
8700019	2
8700020	2
8700021	2
8700022	2
8700023	2
8700024	2
8700025	2
8700026	2
8700027	2
8700028	2
8700029	2
8700030	2
8710001	2
8710002	2
8710003	2
8710004	2
8710005	2
8710006	2
8710007	2
8710008	2
8710009	2
8710010	2
8710011	2
8710012	2
8710013	2
8710014	2
8710015	2
8710016	2
8710017	2
8710018	2
8710019	2
8710020	2
8710021	2
8710022	2
8710023	2
8710024	2
8710025	2
8710026	2
8710027	2
8710028	2
8710029	2
8710030	2
8710031	2
8710032	2
8710033	2
8710034	2
8710035	2
8710036	2
8710037	2
8710038	2
8710039	2
8710040	2
8710041	2
8710042	2
8710043	2
8710044	2
8710045	2
8710046	2
8710047	2
8710048	2
8710049	2
8710050	2
8710051	2
8710052	2
