#ID	随机怪物数量
8700001	3
8700002	3
8700003	3
8700004	3
8700005	3
8700006	3
8700007	3
8700008	3
8700009	3
8700010	3
8700011	3
8700012	3
8700013	3
8700014	4
8700015	4
8700016	4
8700017	4
8700018	4
8700019	4
8700020	4
8700021	4
8700022	4
8700023	4
8700024	4
8700025	4
8700026	4
8700027	4
8700028	4
8700029	4
8700030	4
8700031	4
8700032	4
8700033	4
8700034	4
8700035	4
8700036	5
8700037	5
8700038	5
8700039	5
8700040	5
8700041	5
8700042	5
8700043	5
8700044	5
8700045	5
8700046	5
8700047	5
8700048	5
8700049	5
8700050	5
8700051	5
8700052	5
8700053	5
8700054	5
8700055	5
8700056	5
8700057	5
8700058	6
8700059	6
8700060	6
8700061	6
8700062	6
8700063	6
8700064	6
8700065	6
8700066	6
8700067	6
8700068	6
8700069	6
8700070	6
8700071	6
8700072	6
8700073	6
8700074	6
8700075	6
8700076	6
8700077	6
8700078	8
8700079	8
8700080	8
8700081	8
8700082	8
8700083	8
8700084	8
8700085	8
8700086	8
8700087	8
8700088	8
8700089	8
8700090	8
8700091	8
8700092	8
8700093	8
8700094	8
8700095	8
8700096	8
8700097	8
8700098	10
8700099	10
8700100	10
8700101	10
8700102	10
8700103	10
8700104	10
8700105	10
8700106	10
8700107	10
8700108	10
8700109	10
8700110	10
8700111	10
8700112	10
8700113	10
8700114	10
8700115	10
8700116	10
8700117	10
8700118	10
8700119	10
8700120	10
8700121	10
8700122	10
