#ID	武功随机数量	心法随机数量	天赋随机数量	攻击属性
100033	2	1	1	20
100060	2	1	1	20
100078	2	1	1	20
100082	2	1	1	20
100091	2	1	1	20
100134	2	1	1	20
100135	2	1	1	20
100297	2	1	1	20
100021	2	1	1	20
100043	2	1	1	20
100054	2	1	1	20
100056	2	1	1	20
100419	2	1	1	20
200000	2	1	1	20
200022	2	1	1	20
200039	2	1	1	20
200044	2	1	1	20
210048	2	1	1	20
800035	2	1	1	20
800092	2	1	1	20
878150	2	1	1	20
878155	2	1	1	20
878162	2	1	1	20
878178	2	1	1	20
878188	2	1	1	20
878208	2	1	1	20
878217	2	1	1	20
878224	2	1	1	20
878226	2	1	1	20
878228	2	1	1	20
878241	2	1	1	20
878242	2	1	1	20
878262	2	1	1	20
878263	2	1	1	20
878265	3	1	1	20
878271	2	1	1	20
878273	2	1	1	20
878274	2	1	1	20
878275	2	1	1	20
100111	-1	-1	-1	192 
878234	-1	-1	-1	192 
610170	-1	-1	-1	202 
610171	-1	-1	-1	230 
600081	-1	-1	-1	246 
600101	-1	-1	-1	339 
100136	-1	-1	-1	342 
500102	-1	-1	-1	346 
500103	-1	-1	-1	336 
500104	-1	-1	-1	338 
500105	-1	-1	-1	342 
500106	-1	-1	-1	349 
100113	-1	-1	-1	387 
100112	-1	-1	-1	387 
100108	-1	-1	-1	416 
100107	-1	-1	-1	413 
878153	-1	-1	-1	234 
878152	-1	-1	-1	410 
878141	-1	-1	-1	266 
878139	-1	-1	-1	216
878008	-1	-1	-1	253 
878094	-1	-1	-1	269 
100145	-1	-1	-1	285 
600065	-1	-1	-1	467 
878037	-1	-1	-1	490 
878092	-1	-1	-1	272 
878091	-1	-1	-1	506 
878123	-1	-1	-1	272 
878184	-1	-1	-1	507 
878133	-1	-1	-1	296 
200050	-1	-1	-1	320 
200051	-1	-1	-1	326 
878132	-1	-1	-1	518 
878136	-1	-1	-1	541 
210103	-1	-1	-1	224 
210106	-1	-1	-1	354 
210105	-1	-1	-1	354 
210104	-1	-1	-1	362 
878125	-1	-1	-1	514 
878203	-1	-1	-1	502 
878204	-1	-1	-1	510 
878205	-1	-1	-1	502 
878206	-1	-1	-1	502 
600063	-1	-1	-1	259 
500115	-1	-1	-1	323 
500114	-1	-1	-1	512 
500113	-1	-1	-1	512 
210116	-1	-1	-1	384 
210110	-1	-1	-1	320 
210109	-1	-1	-1	518 
878170	-1	-1	-1	442 
100143	-1	-1	-1	454 
878166	-1	-1	-1	275 
878165	-1	-1	-1	554 
600064	-1	-1	-1	602 
878164	-1	-1	-1	586 
600049	-1	-1	-1	304 
600048	-1	-1	-1	306 
100068	-1	-1	-1	320 
100069	-1	-1	-1	320 
100067	-1	-1	-1	525 
878225	-1	-1	-1	531 
100133	-1	-1	-1	291 
879007	-1	-1	-1	528 
100131	-1	-1	-1	525 
878256	-1	-1	-1	536 
878148	-1	-1	-1	301 
878147	-1	-1	-1	531 
878146	-1	-1	-1	570 
878151	-1	-1	-1	304 
200029	-1	-1	-1	547 
878149	-1	-1	-1	544 
878158	-1	-1	-1	310 
878156	-1	-1	-1	531 
878272	-1	-1	-1	302 
878270	-1	-1	-1	568 
878145	-1	-1	-1	302 
878143	-1	-1	-1	536 
878142	-1	-1	-1	546 
878015	-1	-1	-1	293 
600089	-1	-1	-1	304 
600088	-1	-1	-1	310 
878093	-1	-1	-1	326 
600067	-1	-1	-1	330 
878021	-1	-1	-1	342 
878063	-1	-1	-1	342 
890026	-1	-1	-1	755 
890025	-1	-1	-1	755 
890024	-1	-1	-1	755 
890023	-1	-1	-1	755 
210125	-1	-1	-1	570 
210079	-1	-1	-1	576 
878035	-1	-1	-1	566 
878190	-1	-1	-1	570 
100114	-1	-1	-1	579 
878024	-1	-1	-1	568 
990028	-1	-1	-1	733 
990027	-1	-1	-1	733 
878182	-1	-1	-1	621 
210179	-1	-1	-1	549 
210178	-1	-1	-1	597 
210177	-1	-1	-1	629 
100025	-1	-1	-1	672 
878161	-1	-1	-1	314 
878160	-1	-1	-1	608 
878159	-1	-1	-1	608 
878249	-1	-1	-1	338 
100244	-1	-1	-1	608 
878250	-1	-1	-1	619 
878248	-1	-1	-1	600 
100019	-1	-1	-1	618 
878267	-1	-1	-1	614 
100026	-1	-1	-1	621 
100027	-1	-1	-1	573 
100028	-1	-1	-1	621 
100029	-1	-1	-1	557 
100030	-1	-1	-1	557 
100031	-1	-1	-1	573 
878215	-1	-1	-1	307 
878216	-1	-1	-1	307 
878214	-1	-1	-1	301 
878213	-1	-1	-1	688 
878212	-1	-1	-1	688 
100140	-1	-1	-1	307 
100139	-1	-1	-1	698 
878135	-1	-1	-1	714 
878177	-1	-1	-1	323 
878176	-1	-1	-1	323 
610177	-1	-1	-1	685 
600091	-1	-1	-1	685 
500085	-1	-1	-1	680 
878175	-1	-1	-1	624 
