#对应ID	是否刷新	选择次数
100001	0	1
100002	0	1
100003	0	2
100004	0	1
100005	1	1
100006	0	2
100007	0	1
100008	0	1
100009	0	2
100010	1	1
100011	0	1
100012	0	2
100013	0	1
100014	0	1
100015	1	2
100016	0	1
100017	0	1
100018	0	2
100019	0	1
100020	1	1
100021	0	2
100022	0	1
100023	0	1
100024	0	2
100025	1	1
100026	0	1
100027	0	2
100028	0	1
100029	0	1
100030	1	2
400001	0	1
400002	0	1
400003	0	2
400004	0	1
400005	1	1
400006	0	2
400007	0	1
400008	0	1
400009	0	2
400010	1	1
400011	0	1
400012	0	2
400013	0	1
400014	0	1
400015	1	2
400016	0	1
400017	0	2
400018	1	2
400019	0	1
400020	1	1
400021	0	2
400022	0	1
400023	0	1
400024	0	2
400025	1	1
400026	0	2
400027	1	2
400028	0	2
400029	0	1
400030	1	2
400031	0	1
400032	0	1
400033	0	2
400034	0	1
400035	1	1
400036	0	2
400037	0	1
400038	0	1
400039	0	2
400040	1	1
400041	0	1
400042	0	2
400043	0	1
400044	0	1
400045	1	2
400046	0	2
400047	0	2
400048	1	2
400049	0	1
400050	1	1
400051	0	2
400052	0	1
500001	0	1
500002	0	2
500003	1	1
500004	0	1
500005	0	2
500006	0	1
500007	0	1
500008	1	2
500009	0	1
500010	0	1
500011	0	2
500012	0	1
500013	1	2
500014	1	2
500015	0	2
500016	0	2
500017	0	2
500018	1	1
500019	0	1
500020	0	2
500021	0	1
500022	0	1
500023	1	2
500024	0	1
500025	0	1
500026	0	2
500027	0	1
500028	1	1
500029	0	2
500030	0	1
500031	0	1
500032	0	2
500033	1	1
500034	0	1
500035	0	2
500036	0	2
500037	0	2
500038	1	2
500039	0	2
500040	0	2
